index	name	abbreviation	color
978	Paragigantocellular_reticular_nucleus_lateral_part	PGRNl	#ffd4c6
980	Dorsal_premammillary_nucleus	PMd	#ff4e58
981	Primary_somatosensory_area_barrel_field_layer_1	SSp-bfd1	#00b29c
982	Fasciola_cinerea	FC	#72fd72
988	Ectorhinal_area/Layer_5	ECT5	#36978c
989	Fastigial_nucleus	FN	#f0f052
990	Ventral_auditory_area_layer_4	AUDv4	#46a87c
996	Agranular_insular_area_dorsal_part_layer_1	AId1	#4aa54d
997	root	root	#ffffff
998	Fundus_of_striatum	FS	#a0e4e0
1004	Ventral_premammillary_nucleus	PMv	#ff4e59
1005	Primary_auditory_area_layer_6b	AUDp6b	#73bea8
1006	Primary_somatosensory_area_trunk_layer_1	SSp-tr1	#00b3ab
1007	Simple_lobule	SIM	#f0f180
1009	fiber_tracts	fiber_tracts	#cccccc
1010	Visceral_area_layer_4	VISC4	#46a876
1015	Anterior_cingulate_area_dorsal_part_layer_5	ACAd5	#89b76c
1016	olfactory_nerve_layer_of_main_olfactory_bulb	onl	#cccccc
1017	Ansiform_lobule	AN	#f0f180
1020	Posterior_complex_of_the_thalamus	PO	#ff8682
1021	Secondary_motor_area_layer_6a	MOs6a	#81ae73
1022	Globus_pallidus_external_segment	GPe	#a0d8b1
1023	Ventral_auditory_area_layer_5	AUDv5	#60b790
1025	Paramedian_lobule	PRM	#f0f180
1026	Primary_somatosensory_area_upper_limb_layer_6b	SSp-ul6b	#7cc9a2
1029	Posterior_limiting_nucleus_of_the_thalamus	POL	#ff8582
1030	Primary_somatosensory_area_lower_limb_layer_1	SSp-ll1	#00b18e
1031	Globus_pallidus_internal_segment	GPi	#a0d8b2
1033	Copula_pyramidis	COPY	#f0f180
1035	Supplemental_somatosensory_area_layer_4	SSs4	#28b88d
1037	Postsubiculum	POST	#80ffa0
1038	Primary_somatosensory_area_barrel_field_layer_6a	SSp-bfd6a	#75cbc5
1039	Gracile_nucleus	GR	#ffb1b2
1041	Paraflocculus	PFL	#f0f180
1044	Peripeduncular_nucleus	PP	#ff70a3
1045	Ectorhinal_area/Layer_6b	ECT6b	#65aba5
1046	Anteromedial_visual_area_layer_6a	VISam6a	#40a4ac
1047	Primary_somatosensory_area_barrel_field_layer_4	SSp-bfd4	#42bfb3
1048	Gigantocellular_reticular_nucleus	GRN	#ffd4bb
1049	Flocculus	FL	#f0f180
1052	Pedunculopontine_nucleus	PPN	#ff9eff
1054	Infralimbic_area_layer_6a	ILA6a	#61a67a
1058	Visceral_area_layer_5	VISC5	#61b78a
1060	doral_tegmental_decussation	dtd	#cccccc
1061	Posterior_pretectal_nucleus	PPT	#ffb0f4
1062	Primary_somatosensory_area_barrel_field_layer_6b	SSp-bfd6b	#8fd3d0
1066	Anteromedial_visual_area_layer_2/3	VISam2/3	#008e91
1069	Parapyramidal_nucleus	PPY	#ffd4c8
1070	Primary_somatosensory_area_barrel_field_layer_5_	SSp-bfd5	#5dc5bc
1074	Anterolateral_visual_area_layer_1	VISal1	#00a0b5
1077	Perireunensis_nucleus	PR	#ff90a0
1081	Infralimbic_area_layer_6b	ILA6b	#74ac87
1084	Presubiculum	PRE	#81ffa1
1085	Secondary_motor_area_layer_6b	MOs6b	#8bb27f
1086	Primary_somatosensory_area_trunk_layer_4	SSp-tr4	#3fc0bb
1089	Hippocampal_formation	HPF	#90ffb0
1090	Supplemental_somatosensory_area_layer_5	SSs5	#4abe9b
1092	external_medullary_lamina_of_the_thalamus	em	#cccccc
1093	Pontine_reticular_nucleus_caudal_part	PRNc	#ffae55
1094	Primary_somatosensory_area_lower_limb_layer_4	SSp-ll4	#45bfab
1097	Hypothalamus	HY	#ff696e
1098	Medullary_reticular_nucleus_dorsal_part	MDRNd	#ffd4c3
1101	Agranular_insular_area_dorsal_part_layer_5	AId5	#72b16e
1102	Primary_somatosensory_area_mouth_layer_6a	SSp-m6a	#73c592
1105	Intercalated_amygdalar_nucleus	IA	#b8d0f8
1106	Visceral_area_layer_2/3	VISC2/3	#2aa36a
1107	Medullary_reticular_nucleus_ventral_part	MDRNv	#ffd4c3
1109	Parastrial_nucleus	PS	#ff4d5a
1111	Primary_somatosensory_area_trunk_layer_5	SSp-tr5	#5bc5c5
1113	Interanterodorsal_nucleus_of_the_thalamus	IAD	#ff909f
1114	Anterolateral_visual_area_layer_4	VISal4	#00a1c5
1120	Interanteromedial_nucleus_of_the_thalamus	IAM	#ff8881
1123	inferior_cerebellar_peduncle	icp	#cccccc
1125	Orbital_area_ventrolateral_part_layer_5	ORBvl5	#489662
1126	Tuberomammillary_nucleus_dorsal_part	TMd	#ff4e56
1127	Temporal_association_areas_layer_2/3	TEa2/3	#009179
1128	Primary_somatosensory_area_lower_limb_layer_5	SSp-ll5	#60c4b3
1139	Nucleus_of_the_lateral_olfactory_tract_layer_3	NLOT3	#a0ffaa
10703	Dentate_gyrus_molecular_layer	DG-mo	#72fa72
10704	Dentate_gyrus_polymorph_layer	DG-po	#5ee65e
12001	Primary_somatosensory_area_unassigned_layers_1-3	SSp-un_1-3	#009fac
12002	Primary_somatosensory_area_unassigned_layers_4-6	SSp-un_4-6	#009fac
12003	Anterior_area_layers_1-6	VISa_1-6	#009fac
12004	Rostrolateral_visual_area_layers_1-6_	VISrl_1-6	#009fac
12005	Laterointermediate_area_layers_1-6	VISli_1-6	#009fac
12006	Postrhinal_area_layers_1-6	VISpor_1-6	#009fac
12007	Frontal_pole_layers_5-6a	FRP_5-6A	#009fac
12008	Frontal_pole_layers_5-6b	FRP_6b	#009fac
